#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
34,Switzerland,3619035,0,13865,0,3492051,2700,113119,69,412608,1581,20851897,2377336,8771118,Europe
35,Chile,3569492,3309,57597,17,3434620,2251,77275,197,183822,2966,37210046,1916243,19418229,South America
36,Peru,3568692,829,212906,15,0,0,0,295,105529,6296,29981447,886575,33817168,South America
37,Greece,3348756,5191,29315,31,3248273,11110,71168,224,324198,2838,80328232,7776688,10329363,Europe
38,Denmark,2970002,808,6218,11,2950099,1862,13685,8,509457,1067,127263854,21830089,5829745,Europe
39,Romania,2897528,685,65545,19,2606660,0,225323,167,152489,3449,22791438,1199452,19001541,Europe
40,Sweden,2503090,0,18791,0,2472416,1204,11883,16,245036,1840,18534055,1814365,10215175,Europe
41,Iraq,2325397,45,25212,0,2298717,146,1468,13,55521,602,18489800,441461,41883203,Asia
42,Serbia,2008740,597,16015,4,1978619,0,14106,23,231619,1847,9522660,1098016,8672603,Europe
43,Bangladesh,1952747,4,29127,0,1896788,257,26832,1273,11644,174,14001137,83485,167709326,Asia
44,Hungary,1903200,0,46266,0,1808061,0,48873,40,197936,4812,11355462,1180990,9615207,Europe
45,Slovakia,1783906,553,19952,9,1750517,2410,13437,50,326453,3651,7107056,1300585,5464509,Europe
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,163069,1352,16670254,1604519,10389567,Asia
47,Georgia,1655221,0,16811,0,1637293,0,1117,0,416400,4229,16920079,4256543,3975075,Asia
48,Pakistan,1528624,21,30372,0,1494141,0,4111,107,6681,133,28215463,123327,228784884,Asia
49,Ireland,1521474,1147,7108,5,1470009,2727,44357,39,301921,1411,12088609,2398865,5039304,Europe
50,Norway,1427485,337,3006,0,0,0,0,20,259577,547,11002430,2000709,5499266,Europe
51,Kazakhstan,1305566,9,13660,0,1291187,60,719,24,68033,712,11575012,603177,19190079,Asia
52,Singapore,1208917,4733,1344,4,1145576,1423,61997,6,203692,226,23767171,4004558,5935030,Asia
53,Hong Kong,1205717,321,9333,5,0,0,0,5,158461,1227,44972952,5910547,7608932,Asia
54,Morocco,1165084,58,16069,0,1148708,47,307,293,30891,426,11237010,297939,37715777,Africa
55,Bulgaria,1158793,439,36965,12,988914,1922,132914,77,169113,5395,9877826,1441556,6852197,Europe
56,Croatia,1125723,961,15865,9,1104237,665,5621,17,277362,3909,4804096,1183660,4058680,Europe
57,Cuba,1103606,118,8527,0,1094417,150,662,23,97544,754,12920253,1141981,11313892,North America
58,Lebanon,1097268,64,10395,2,1083156,1386,3717,186,162097,1536,4795578,708441,6769196,Asia
59,Lithuania,1059188,189,9112,2,1027684,849,22392,20,399330,3435,8260224,3114231,2652412,Europe
60,Finland,1052767,29754,4150,211,46000,0,1002617,21,189464,747,10773620,1938900,5556562,Europe
61,Tunisia,1040712,0,28566,0,0,0,0,29,86393,2371,4584296,380558,12046235,Africa
62,Slovenia,1013974,1029,6605,3,995213,1276,12156,23,487613,3176,2649740,1274242,2079464,Europe
63,Belarus,981259,189,6963,5,928536,0,45760,0,103907,737,13180098,1395664,9443602,Europe
64,Nepal,978899,15,11951,0,966730,15,218,0,32520,397,5648397,187647,30101179,Asia
65,New Zealand,969959,8697,774,21,914741,9096,54444,0,193910,155,7095449,1418494,5002100,Australia/Oceania
66,Bolivia,905212,62,21924,1,860297,574,22991,220,75648,1832,2705422,226091,11966073,South America
67,Uruguay,899723,0,7210,0,888557,0,3956,18,257366,2062,6091188,1742386,3495888,South America
68,UAE,899637,196,2302,0,883461,301,13874,0,88982,228,156785227,15507415,10110339,Asia
69,Ecuador,870526,288,35598,0,0,0,0,759,48000,1963,2470170,136202,18136103,South America
70,Costa Rica,857290,0,8421,0,836721,0,12148,42,165508,1626,4291131,828446,5179737,North America
71,Guatemala,848098,607,17653,17,828221,516,2224,5,45780,953,4486196,242164,18525416,North America
72,Latvia,823732,622,5780,3,810145,412,7807,7,445783,3128,7192553,3892432,1847830,Europe
73,Azerbaijan,792599,11,9709,0,782839,35,51,0,76896,942,6826926,662333,10307387,Asia
74,Panama,782265,2117,8189,0,764407,387,9669,8,176195,1844,5909455,1331028,4439767,North America
75,Saudi Arabia,754623,159,9096,2,742239,112,3288,55,21072,254,41940947,1171153,35811663,Asia
76,Sri Lanka,663503,34,16507,0,646136,2,860,0,30748,765,6486117,300582,21578505,Asia
77,Paraguay,649455,0,18870,0,624673,0,5912,2,89042,2587,2623300,359662,7293790,South America
78,Kuwait,631409,0,2555,0,628090,0,764,8,143934,582,8007805,1825430,4386805,Asia
79,Myanmar,612965,14,19434,0,591902,8,1629,0,11128,353,7998369,145211,55081174,Asia
80,Palestine,581940,0,5353,0,576242,0,345,17,109395,1006,3078533,578715,5319604,Asia
81,Dominican Republic,579572,0,4376,0,574824,0,372,1,52459,396,3283648,297213,11048134,North America
82,Estonia,572434,0,2548,0,511857,0,58029,3,430992,1918,3329716,2506982,1328177,Europe
83,Bahrain,570761,658,1477,1,565928,412,3356,2,315275,816,9737995,5379041,1810359,Asia
84,Venezuela,522587,23,5709,0,515871,52,1007,230,18474,202,3359014,118745,28287662,South America
85,Moldova,516986,0,11489,0,504142,0,1355,49,128709,2860,3216305,800732,4016708,Europe
86,Egypt,515645,0,24613,0,442182,0,48850,122,4870,232,3693367,34881,105886134,Africa
87,Libya,501904,0,6430,0,490973,0,4501,101,71260,913,2477219,351715,7043258,Africa
88,Cyprus,474267,0,1020,0,124370,0,348877,60,387620,834,9477138,7745696,1223536,Asia
89,Ethiopia,470686,39,7510,0,455720,4,7456,5,3916,62,4804225,39968,120202679,Africa
90,Mongolia,469885,0,2179,0,313256,0,154450,192,139207,646,4030048,1193931,3375446,Asia
91,Honduras,423794,0,10895,0,132358,0,280541,105,41571,1069,1358559,133264,10194513,North America
92,Armenia,422877,0,8622,0,412026,0,2229,0,142218,2900,3059332,1028887,2973437,Asia
93,Réunion,398115,0,756,0,383424,0,13935,7,438901,833,1603660,1767952,907072,Africa
94,Oman,389126,0,4258,0,384243,0,625,4,72794,797,25000000,4676777,5345562,Asia
95,Bosnia and Herzegovina,377229,142,15768,3,192218,0,169243,0,116311,4862,1761186,543028,3243267,Europe
96,Qatar,364895,69,677,0,363700,55,518,2,129957,241,3455742,1230763,2807805,Asia
97,Kenya,323818,12,5649,0,318042,8,127,0,5788,101,3608332,64491,55950604,Africa
98,Zambia,319755,0,3976,0,315266,0,513,1,16541,206,3429405,177404,19331084,Africa
99,North Macedonia,310063,138,9284,1,300107,86,672,0,148839,4457,2026507,972778,2083217,Europe
100,Botswana,305859,0,2688,0,303026,0,145,1,125404,1102,2026898,831038,2438997,Africa
101,Albania,275266,55,3496,0,271480,56,290,2,95844,1217,1810232,630301,2872014,Europe
102,Algeria,265786,4,6875,0,178359,1,80552,6,5866,152,230861,5095,45308187,Africa
103,Nigeria,255766,0,3143,0,249914,0,2709,11,1187,15,5075820,23549,215539410,Africa
104,Zimbabwe,248150,100,5472,1,241939,40,739,12,16260,359,2264510,148384,15261118,Africa
105,Luxembourg,240675,543,1068,0,230342,693,9265,1,373302,1657,4236553,6571152,644720,Europe
106,Uzbekistan,238651,15,1637,0,236777,12,237,23,6945,48,1377915,40100,34361909,Asia
107,Montenegro,235549,65,2717,1,232226,109,606,6,374951,4325,2457145,3911331,628212,Europe
108,Taiwan,232356,30060,886,5,30973,1276,200497,0,9724,37,15072064,630733,23896116,Asia
109,Mozambique,225407,7,2201,0,223159,4,47,13,6858,67,1314949,40009,32866312,Africa
110,Laos,208368,230,748,2,7660,0,199960,0,27894,100,1232128,164947,7469861,Asia
111,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131,29900,445,1907195,283712,6722283,Asia
112,Iceland,185795,0,119,0,75685,0,109991,0,538039,345,2264004,6556268,345319,Europe
113,Maldives,179171,0,298,0,163687,0,15186,25,321058,534,2213831,3966984,558064,Asia
114,Afghanistan,178905,4,7684,0,161916,20,9305,1124,4413,190,944912,23307,40541426,Asia
115,Uganda,164069,0,3596,0,100205,0,60268,2,3390,74,2612795,53985,48398096,Africa
116,El Salvador,162089,0,4128,0,150662,0,7299,8,24760,631,1950448,297940,6546444,North America
117,Ghana,161222,6,1445,0,159746,9,31,1,4997,45,2438745,75582,32266411,Africa
118,Namibia,158989,49,4026,1,153662,0,1301,0,60554,1533,1010056,384698,2625583,Africa
119,Martinique,153253,0,926,0,104,0,152223,8,408970,2471,828928,2212073,374729,North America
120,Trinidad and Tobago,149950,418,3845,2,137428,415,8677,18,106512,2731,713691,506944,1407829,North America
121,Brunei ,142312,146,218,0,141540,132,554,0,319666,490,717784,1612313,445189,Asia
122,Guadeloupe,140130,0,854,0,2250,0,137026,19,350106,2134,938039,2343633,400250,North America
123,Cambodia,136259,1,3056,0,133167,11,36,0,7948,178,2954445,172323,17144809,Asia
124,Jamaica,130596,123,2972,2,84044,170,43580,0,43751,996,1011279,338792,2984956,North America
125,Rwanda,129825,6,1459,0,45522,0,82844,0,9586,108,5290391,390639,13542917,Africa
126,Cameroon,119780,0,1927,0,117791,0,62,13,4315,69,1751774,63101,27761566,Africa
127,Angola,99194,0,1900,0,97149,0,145,0,2855,55,1499795,43164,34746825,Africa
128,Malta,92475,167,708,5,88213,287,3554,4,208415,1596,1891415,4262757,443707,Europe
129,DRC,87023,0,1337,0,50930,0,34756,0,920,14,846704,8953,94569953,Africa
130,Senegal,86012,2,1966,0,84028,3,18,0,4899,112,1072294,61080,17555671,Africa
131,Malawi,85797,2,2634,0,82072,3,1091,67,4281,131,575430,28715,20039371,Africa
132,Ivory Coast,81968,1,799,0,81142,10,27,0,2972,29,1504696,54557,27580026,Africa
133,French Guiana,80859,0,395,0,11254,0,69210,2,258397,1262,627211,2004349,312925,South America
134,Suriname,79393,0,1328,0,49402,0,28663,0,133141,2227,236066,395880,596307,South America
135,Channel Islands,74865,223,172,1,73987,332,706,0,423413,973,1252808,7085497,176813,Europe
136,French Polynesia,72765,0,648,0,0,0,0,7,256308,2283,0,0,283897,Australia/Oceania
137,Barbados,72282,1155,402,3,68533,1159,3347,0,250959,1396,655595,2276190,288023,North America
138,Eswatini,70964,131,1399,1,69019,9,546,11,60023,1183,1017541,860665,1182273,Africa
139,Fiji,64699,9,862,0,62815,24,1022,0,71223,949,508406,559671,908402,Australia/Oceania
140,Madagascar,64181,0,1391,0,59370,0,3420,14,2213,48,426220,14697,29000680,Africa
141,Guyana,63533,15,1228,0,62204,4,101,1,80063,1547,601903,758506,793538,South America
142,Sudan,62135,0,4933,0,0,0,0,0,1359,108,562941,12309,45732941,Africa
143,New Caledonia,60749,0,312,0,60231,0,206,9,209083,1074,98964,340609,290550,Australia/Oceania
144,Bhutan,59422,64,21,0,59033,177,368,2,75481,27,2301767,2923822,787246,Asia
145,Mauritania,58707,8,982,0,57700,0,25,0,12044,201,806279,165408,4874500,Africa
146,Belize,57578,17,676,0,56664,10,238,6,140123,1645,543001,1321456,410911,North America
147,Cabo Verde,56046,10,401,0,55568,4,77,23,98829,707,400982,707072,567102,Africa
148,Syria,55837,4,3150,0,52262,19,425,0,3054,172,146269,8000,18282823,Asia
149,Gabon,47602,0,304,0,47285,0,13,0,20497,131,1593622,686208,2322360,Africa
150,Papua New Guinea,43821,0,650,0,43133,0,38,7,4733,70,249149,26909,9258895,Australia/Oceania
151,Seychelles,42841,367,166,0,42223,496,452,0,430701,1669,0,0,99468,Africa
152,Curaçao,42241,0,274,0,41612,0,355,3,255498,1657,496693,3004288,165328,North America
153,Andorra,41717,0,153,0,41021,0,543,14,538332,1974,249838,3224007,77493,Europe
154,Burundi,40675,0,38,0,773,0,39864,0,3243,3,345742,27566,12542224,Africa
155,Mauritius,37733,19,990,0,36031,22,712,0,29579,776,358675,281170,1275652,Africa
156,Mayotte,37363,0,187,0,2964,0,34212,0,131133,656,176919,620932,284925,Africa
157,Togo,36996,1,273,0,36705,3,18,0,4284,32,731826,84744,8635713,Africa
158,Guinea,36459,0,440,0,35976,0,43,8,2644,32,660107,47875,13788116,Africa
159,Aruba,34846,0,212,0,34516,0,118,3,323848,1970,177885,1653206,107600,North America
160,Faeroe Islands,34658,0,28,0,7693,0,26937,5,704359,569,778000,15811401,49205,Europe
161,Tanzania,33872,0,803,0,0,0,0,7,539,13,0,0,62864118,Africa
162,Bahamas,33655,29,798,0,32388,4,469,0,84104,1994,229817,574313,400160,North America
163,Lesotho,32910,0,697,0,24155,0,8058,0,15141,321,431221,198399,2173507,Africa
164,Mali,30888,14,732,0,29990,12,166,0,1449,34,668833,31366,21323812,Africa
165,Haiti,30703,0,835,0,29555,0,313,0,2634,72,132422,11359,11658364,North America
166,Isle of Man,28416,0,87,0,26794,0,1535,0,330954,1013,150753,1755780,85861,Europe
167,Benin,26952,0,163,0,25506,0,1283,5,2121,13,604310,47556,12707376,Africa
168,Somalia,26485,0,1350,0,13182,0,11953,0,1585,81,400466,23967,16708914,Africa
169,Congo,24079,0,385,0,20178,0,3516,0,4175,67,347815,60301,5767972,Africa
170,Saint Lucia,23612,74,368,0,22977,24,267,0,127514,1987,143281,773772,185172,North America
171,Timor-Leste,22883,4,130,0,22730,0,23,0,16768,95,263328,192963,1364654,Asia
172,Cayman Islands,22828,0,27,0,8553,0,14248,1,339996,402,222773,3317938,67142,North America
173,Burkina Faso,20853,0,382,0,20439,0,32,0,950,17,248995,11340,21957721,Africa
174,Nicaragua,18491,0,225,0,4225,0,14041,0,2731,33,0,0,6769616,North America
175,Gibraltar,17996,159,102,0,16579,0,1315,0,534450,3029,534283,15867278,33672,Europe
176,South Sudan,17491,1,138,0,13514,0,3839,1,1530,12,385179,33683,11435268,Africa
177,Tajikistan,17388,0,124,0,17264,0,0,0,1751,12,0,0,9931799,Asia
178,Liechtenstein,17230,5,84,0,17070,12,76,0,449529,2192,102174,2665710,38329,Europe
179,San Marino,16561,0,115,0,16175,0,271,4,486202,3376,152231,4469233,34062,Europe
180,Solomon Islands,16441,764,144,3,14797,688,1500,1,22902,201,5117,7128,717874,Australia/Oceania
181,Equatorial Guinea,15910,2,183,0,15701,0,26,5,10694,123,317211,213213,1487765,Africa
182,Djibouti,15631,0,189,0,15427,0,15,0,15408,186,305941,301586,1014442,Africa
183,Grenada,15138,154,220,0,14298,69,620,4,133394,1939,152457,1343435,113483,North America
184,CAR,14649,0,113,0,6859,0,7677,2,2939,23,81294,16310,4984299,Africa
185,Bermuda,13832,0,131,0,13289,0,412,0,223620,2118,885175,14310484,61855,North America
186,Dominica,12161,0,63,0,12025,0,73,0,168167,871,191084,2642384,72315,North America
187,Gambia,11995,0,365,0,11591,0,39,0,4720,144,155686,61256,2541564,Africa
188,Greenland,11971,0,21,0,2761,0,9189,4,210198,369,164926,2895928,56951,North America
189,Monaco,11898,29,54,0,11692,20,152,4,299291,1358,54960,1382502,39754,Europe
190,Yemen,11819,0,2149,0,9009,0,661,23,381,69,265253,8547,31034623,Asia
191,Tonga,10704,210,11,0,9255,0,1438,0,99203,102,486186,4505894,107900,Australia/Oceania
192,Saint Martin,10537,75,63,0,1399,0,9075,7,264224,1580,112382,2818075,39879,North America
193,Samoa,10210,0,20,0,1605,0,8585,4,50836,100,73313,365030,200841,Australia/Oceania
194,Sint Maarten,10065,0,86,0,9913,0,66,10,229942,1965,62056,1417710,43772,North America
195,Caribbean Netherlands,9804,0,34,0,9714,0,56,0,367576,1275,30126,1129499,26672,North America
196,Eritrea,9735,0,103,0,9631,0,1,0,2677,28,23693,6515,3636755,Africa
197,Niger,8957,0,309,0,8550,0,98,1,347,12,250880,9717,25818202,Africa
198,Guinea-Bissau,8213,3,171,0,7530,0,512,6,3999,83,135069,65772,2053579,Africa
199,Comoros,8100,0,160,0,7933,0,7,0,8963,177,0,0,903685,Africa
200,Vanuatu,7716,58,14,0,7262,125,440,0,24086,44,24976,77965,320350,Australia/Oceania
201,Sierra Leone,7681,0,125,0,0,0,0,0,928,15,259958,31413,8275476,Africa
202,Antigua and Barbuda,7663,9,137,0,7471,7,55,1,77076,1378,18901,190111,99421,North America
203,Liberia,7434,0,294,0,5747,0,1393,2,1409,56,139824,26500,5276394,Africa
204,Chad,7412,0,193,0,4874,0,2345,0,429,11,191341,11065,17292916,Africa
205,St. Vincent Grenadines,6787,1,106,0,6641,0,40,0,60822,950,98958,886816,111588,North America
206,British Virgin Islands,6355,0,62,0,0,0,0,1,207673,2026,103049,3367504,30601,North America
207,Turks and Caicos,5995,0,36,0,5918,0,41,4,151080,907,497269,12531665,39681,North America
208,Sao Tome and Principe,5964,0,73,0,5884,0,7,0,26314,322,29036,128111,226648,Africa
209,Saint Kitts and Nevis,5570,0,43,0,5519,0,8,0,103355,798,70707,1312013,53892,North America
210,Cook Islands,5246,17,1,0,5030,40,215,0,298170,57,17038,968398,17594,Australia/Oceania
211,Palau,4690,0,6,0,4043,0,641,1,256944,329,46722,2559689,18253,Australia/Oceania
212,St. Barth,4575,31,6,0,0,0,0,0,460632,604,78646,7918445,9932,North America
213,Kiribati,3089,0,13,0,2601,0,475,3,25150,106,0,0,122822,Australia/Oceania
214,Anguilla,2788,0,9,0,2766,0,13,4,182832,590,51382,3369532,15249,North America
215,Saint Pierre Miquelon,2727,26,1,0,2449,0,277,1,474922,174,23545,4100488,5742,North America
216,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,The remaining areas
217,Wallis and Futuna,454,0,7,0,438,0,9,0,41739,644,20508,1885446,10877,Australia/Oceania
218,Montserrat,452,81,2,0,221,23,229,0,90436,400,10135,2027811,4998,North America
219,Falkland Islands,197,0,0,0,0,0,0,0,53737,0,8632,2354610,3666,South America
220,Macao,82,0,0,0,82,0,0,0,123,0,5375,8075,665626,Asia
221,Vatican City,29,0,0,0,29,0,0,0,36025,0,0,0,805,Europe
222,Marshall Islands,17,0,0,0,14,0,3,0,284,0,0,0,59925,Australia/Oceania
223,Western Sahara,10,0,1,0,9,0,0,0,16,2,0,0,624359,Africa
224,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,The remaining areas
225,Niue,9,0,0,0,8,0,1,0,5468,0,0,0,1646,Australia/Oceania
226,Micronesia,7,0,0,0,1,0,6,0,60,0,0,0,117242,Australia/Oceania
227,Nauru,5,0,0,0,3,0,2,0,457,0,0,0,10949,Australia/Oceania
228,Saint Helena,2,0,0,0,2,0,0,0,327,0,0,0,6110,Africa
